eco_id	eco_name	matched_title	matched_slug	match_type	score
284	Tenasserim-South Thailand semi-evergreen rain forests	Tenasserim-South Thailand Semi-Evergreen Rainforests	tenasserim-south-thailand-semi-evergreen-rainforests	exact_norm	100.0
215	Tirari-Sturt stony desert	Tirari-Stuart Stony Desert	tirari-stuart-stony-desert	fuzzy_token_set	98.03921568627452
548	Trinidad and Tobago dry forest	Trinidad and Tobago Dry Forests	trinidad-and-tobago-dry-forests	fuzzy_partial	100.0
158	Trobriand Islands rain forests	Trobriand Islands Rainforests	trobriand-islands-rainforests	exact_norm	100.0
159	Vanuatu rain forests	Vanuatu Rainforests	vanuatu-rainforests	exact_norm	100.0
160	Vogelkop montane rain forests	Vogelkop Montane Rainforests	vogelkop-montane-rainforests	exact_norm	100.0
161	Vogelkop-Aru lowland rain forests	Vogelkop-Aru Lowland Rainforests	vogelkop-aru-lowland-rainforests	exact_norm	100.0
288	Western Java montane rain forests	Western Java Montane Rainforests	western-java-montane-rainforests	exact_norm	100.0
289	Western Java rain forests	Western Java Rainforests	western-java-rainforests	exact_norm	100.0
162	Yapen rain forests	Yapen Rainforests	yapen-rainforests	exact_norm	100.0
551	Yucatán dry forests	Yucatan Dry Forests	yucatan-dry-forests	exact_norm	100.0
519	Yucatán moist forests	Yucatan Moist Forests	yucatan-moist-forests	exact_norm	100.0
