id	title	title_source	title_uri	ccodes	matches	names	types	aat_types	parent_name	parent_id	lon	lat	geowkt	geo_source	geo_id	start	end
84962	Huesca			ES	wd:Q11967;viaf:157098826;gn:6358352;loc:n80001331;dbp:Huesca;tgn:7007785	Huesca;Osca	inhabited places				-0.409411	42.13868	POINT (-0.409411 42.13868)		tgn:7007785	1000	1500
84963	Huetamo			MX	dbp:Huetamo;wd:Q2651175;gn:4004555;loc:no2004080756;tgn:1017575	Huetamo	inhabited places				-100.883333	18.583333	POINT (-100.883333 18.583333)		tgn:1017575	100	1200
84964	Huexotlan			MX		Huexotlan	inhabited places									1200	1600
84965	Huexotzinco			MX		Huexotzinco	inhabited places									1519	1521
84966	Huextepec					Huextepec	nation									1200	1600
84967	Hueyotlipan			MX	dbp:Hueyotlipan;wd:Q20224509;gn:3526929;loc:no99045648	Hueyotlipan	inhabited places				-98.3467	19.4703	POINT (-98.3467 19.4703)		dbp:Hueyotlipan	1519	1521
84968	Hughenden			AU	tgn:1097140	Hughenden	inhabited places				144.200348	-20.84399	POINT (144.200348 -20.84399)		tgn:1097140	1780	1880
84969	Huguang				dbp:Huguang_Province	Huguang	province									1368	1644
84970	Huguenots			FR		Huguenots	inhabited places									1600	1700
84971	Hui					Hui										1674	1900
84972	Huichol				dbp:Huichol_people	Huichol	cultural group									1492	1600
84973	Huining			CN		Huining	inhabited places									1127	1234
84974	Huipulco			MX	tgn:7370662	Huipulco	inhabited places				-99.15	19.283333	POINT (-99.15000000000001 19.283333)		tgn:7370662	1200	1600
84975	Huitzilopochco			MX	dbp:Huitzilopochco	Huitzilopochco	inhabited places									1200	1600
84976	Huitzlan			MX		Huitzlan	inhabited places									1200	1600
84977	Huitznahualc			MX		Huitznahualc	inhabited places									1200	1600
84978	Huixian			CN	dbp:Huixian	Huixian	inhabited places				113.798	35.459	POINT (113.798 35.459)		dbp:Huixian	-1800	-1027
84979	Hull			GB	tgn:7010370	Hull	inhabited places				-0.333333	53.716667	POINT (-0.333333 53.716667)		tgn:7010370	1770	1870
84980	Hulme			GB	dbp:Hulme	Hulme	inhabited places				-2.25	53.4636	POINT (-2.25 53.4636)		dbp:Hulme	1840	1900
84981	Hulst			NL	dbp:Hulst;wd:Q81100;gn:2753439	Hulst	inhabited places				4.05	51.2833	POINT (4.05 51.2833)		dbp:Hulst	1568	1609
84983	Humaita			BR	dbp:Humaitá	Humaita	archaeological site				-58.5	-27.07	POINT (-58.5 -27.07)		dbp:Humaitá	-12000	-1000
84984	Humber				dbp:Humber;wd:Q550995;gn:2646437;tgn:7463566	Humber	estuary				-0.691152777	53.700391666	POINT (-0.691152777 53.700391666)		wd:Q550995	600	800
84987	Hunan				dbp:Hunan;tgn:7002079	Hunan	region;province				111.75	27.666667	POINT (111.75 27.666667)		tgn:7002079	1910	1928
84988	Hunas				dbp:Huna_people	Hunas	cultural group									300	550
84989	Hunchun			CN	dbp:Hunchun	Hunchun	inhabited places				130.367	42.8667	POINT (130.367 42.8667)		dbp:Hunchun	1840	1910
84990	Hungarian Revolts					Hungarian Revolts										1600	1700
84991	Hungarians				dbp:Hungarians	Hungarians	cultural group									2005	2005
84992	Hungary				loc:n79053090;gn:719819;viaf:128544491;wd:Q28;dbp:Hungary;tgn:7006278	Hungary	nation				20	47	POINT (20 47)		tgn:7006278	1100	1300
84993	Hungnam			KP	dbp:Hungnam;tgn:7002224	Hungnam	inhabited places				127.6667	39.8167	POINT (127.6667 39.8167)		tgn:7002224	1950	1953
84994	Huns				dbp:Huns	Huns	cultural group									300	500
84995	Huns, Empire of the					Huns, Empire of the	nation									300	500
84996	Hunter-gatherers			AU		Hunter-gatherers	cultural group									-5000	-2500
84997	Hunter-gatherers of the Great Plains					Hunter-gatherers of the Great Plains	cultural group									-5000	-2500
84998	Huo					Huo	nation									-1800	-1027
84999	Huo Shan			CN		Huo Shan	mountain									-1030	-220
85000	Huon Peninsula			PG;GN	dbp:Huon_Peninsula	Huon Peninsula	inhabited places				147.5	-6.41667	POINT (147.5 -6.41667)		dbp:Huon_Peninsula	-60000	1
85001	Huron					Huron	cultural group										
85002	Huron, Lake				dbp:Lake_Huron	Huron, Lake	lake				-82.4	44.8	POINT (-82.40000000000001 44.8)		dbp:Lake_Huron	1600	1750
85003	Hurri					Hurri	nation									-1650	-1200
85004	Hurrians				dbp:Hurrians	Hurrians	cultural group									-2300	-1750
85005	Hué			VN	gn:1580240;viaf:153640543;loc:n83033293;wd:Q36167;dbp:Huế;tgn:7004240	Hué;Hue	inhabited places;inhabited places				107.579	16.4667	POINT (107.579 16.4667)		dbp:Huế	1550	1800
85006	Hvar				dbp:Hvar;wd:Q5993;viaf:1209145424574786831003;gn:3199177	Hvar;Pharus	island				16.7333	43.1333	POINT (16.7333 43.1333)		dbp:Hvar	1990	1999
85007	Hwicce				dbp:Hwicce	Hwicce	cultural group									600	800
85008	Hydaspes				dbp:Jhelum;tgn:7002541	Hydaspes;Jhelum	river				73.726367	32.933132	POINT (73.726367 32.933132)		tgn:7002541	-2500	-500
85009	Hyderabad			IN	dbp:Hyderabad;wd:Q7083679;tgn:7001541	Hyderabad	inhabited places				78.474444	17.375278	POINT (78.47444400000001 17.375278)		tgn:7001541	1765	1765
85010	Hyderabad				dbp:Hyderabad;whg:85009	Hyderabad	nation				78.48	17.37	POINT (78.48 17.37)		dbp:Hyderabad	1757	1914
85011	Hydraotes					Hydraotes;Ravi	river									-2500	-500
85012	Hyeres			FR	dbp:Hyères	Hyeres	inhabited places				6.1316	43.1199	POINT (6.1316 43.1199)		dbp:Hyères	1100	1300
85013	Hyesan			KP	dbp:Hyesan;tgn:1082010	Hyesan	inhabited places				128.2	41.4167	POINT (128.2 41.4167)		tgn:1082010	1950	1953
85014	Hyogo			JP	viaf:150106398;gn:1862047;loc:n81063158;wd:Q130290;dbp:Hyōgo_Prefecture;tgn:7016675	Hyogo	inhabited places				135.183	34.6908	POINT (135.183 34.6908)		dbp:Hyōgo_Prefecture	1467	1598
85015	Hyogo			JP	viaf:150106398;gn:1862047;loc:n81063158;wd:Q130290;dbp:Hyōgo_Prefecture;tgn:7016675	Hyogo	prefecture				134.825968	35.040316	POINT (134.825968 35.040316)		tgn:7016675	1868	1918
85016	Hyphasis				dbp:Beas_City;wd:Q319590;viaf:124473726;gn:1276635;whg:81958	Hyphasis;Beas	river				75.2889	31.5167	POINT (75.2889 31.5167)		dbp:Beas_City	-2500	-500
85017	Hyrax Hill			KE	dbp:Hyrax_Hill	Hyrax Hill	archaeological site									-600	600
85018	Hyrcania					Hyrcania	region									-360	-320
85019	Ia Drang			VN	dbp:Battle_of_Ia_Drang	Ia Drang	inhabited places				107.717	13.5833	POINT (107.717 13.5833)		dbp:Battle_of_Ia_Drang	1946	1989
85020	Ialysus			GR	dbp:Ialysos;wd:Q1018156;viaf:137413276;gn:252685;loc:n2005004089;tgn:7011267	Ialysus	inhabited places				28.166667	36.4	POINT (28.166667 36.4)		tgn:7011267	-700	-300
85021	Ialysus			GR	dbp:Ialysos;tgn:7011267	Ialysus	nation				28.166667	36.4	POINT (28.166667 36.4)		tgn:7011267	-454	-428
85022	Iasi			RO	wd:Q46852;viaf:132527910;gn:8334835;dbp:Iași	Iasi	inhabited places				27.5903	47.1569	POINT (27.5903 47.1569)		dbp:Iași	1945	1952
85023	Iazyges				dbp:Iazyges	Iazyges	cultural group									240	395
85024	Ibadan			NG	dbp:Ibadan;tgn:7000537	Ibadan	inhabited places				3.91667	7.39639	POINT (3.91667 7.39639)		dbp:Ibadan	2004	2004
85025	Ibar				wd:Q392840;viaf:237482063;gn:837246;loc:sh97009061;tgn:1124796	Ibar	river				20.75	43.75	POINT (20.75 43.75)		tgn:1124796	1990	1999
85026	Ibaraki			JP	tgn:1000987	Ibaraki	prefecture				140.316149	36.310353	POINT (140.316149 36.310353)		tgn:1000987	1868	1918
85027	Iberia				dbp:Iberian_Peninsula	Iberia	region				-4	40	POINT (-4 40)		dbp:Iberian_Peninsula	-200	400
85028	Iberian Peninsula				dbp:Iberian_Peninsula	Iberian Peninsula	region				-4	40	POINT (-4 40)		dbp:Iberian_Peninsula	-2300	-1500
85029	Iberians				dbp:Iberians	Iberians	cultural group									-1250	-750
85030	Iberus				dbp:Ebro;wd:Q10965;viaf:244101666;gn:3123754;loc:sh85040658;whg:83739	Iberus;Ebro	river				-4.37	43.0375	POINT (-4.37 43.0375)		wd:Q10965	-264	-201
85031	Ibiza				dbp:Ibiza;wd:Q52631;viaf:315127257;gn:2516477;loc:sh85063913	Ibiza;Ebusus	island				1.43	38.98	POINT (1.43 38.98)		dbp:Ibiza	1936	1939
85032	Ica			PE	wd:Q840712;viaf:126239375;gn:3938527;loc:n82235266;tgn:1024547	Ica	inhabited places				-75.7167	-14.0667	POINT (-75.7167 -14.0667)		tgn:1024547	1525	1525
85033	Ica				tgn:1124804	Ica	river				-75.561	-14.87	POINT (-75.56100000000001 -14.87)		tgn:1124804	-600	600
85034	Iceland				dbp:Iceland;wd:Q3740828	Iceland	island				-18	65	POINT (-18 65)		dbp:Iceland	1945	1995
85035	Ichigodani			JP		Ichigodani	inhabited places									1150	1350
85036	Ichinotani			JP		Ichinotani	inhabited places									1150	1350
85037	Iconium			TR	dbp:Konya;tgn:7002539	Iconium;Konia;Konieh;Konya	religious division;inhabited places				32.484636	37.871354	POINT (32.484636 37.871354)		tgn:7002539	-51	150
85038	Idaho			US	gn:5596512;loc:n81014565;viaf:148929220;wd:Q1221;dbp:Idaho;tgn:7007250	Idaho	state				-115	45	POINT (-115 45)		tgn:7007250	1783	1896
85039	Idalium			CY	dbp:Idalium;tgn:7002336	Idalium	inhabited places				33.421948	35.022936	POINT (33.421948 35.022936)		tgn:7002336	-700	-300
85040	Idojiri			JP	wd:Q11373552	Idojiri	archaeological site				138.279144	35.877778	POINT (138.279144 35.877778)		wd:Q11373552	-6000	-2000
85041	Idrisids				dbp:Idrisid_dynasty	Idrisids	dynasty									800	1200
